starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 14 13:48:39 2015	1447505319	2	1297	1299	1297
Sat Nov 14 13:49:12 2015	1447505352	2	1305	1307	1305
Sat Nov 14 13:48:58 2015	1447505338	1	1315	1316	1315
Sat Nov 14 13:49:02 2015	1447505342	1	1432	1433	1431
Sat Nov 14 13:48:55 2015	1447505335	2	1460	1461	1456
Sat Nov 14 13:48:57 2015	1447505337	1	1525	1527	1525
Sat Nov 14 13:48:37 2015	1447505317	2	1632	1633	1631
Sat Nov 14 13:49:11 2015	1447505351	2	1699	1700	1695
Sat Nov 14 13:49:10 2015	1447505350	1	1707	1708	1707
Sat Nov 14 13:48:31 2015	1447505311	11	1844	1854	1844
Sat Nov 14 13:48:40 2015	1447505320	2	2006	2009	2006
Sat Nov 14 13:48:53 2015	1447505333	2	2057	2060	2057
Sat Nov 14 13:49:17 2015	1447505357	2	2086	2089	2086
Sat Nov 14 13:49:04 2015	1447505344	3	2125	2128	2123
Sat Nov 14 13:49:00 2015	1447505340	4	2296	2299	2296
Sat Nov 14 13:49:00 2015	1447505340	2	2307	2309	2307
Sat Nov 14 13:49:05 2015	1447505345	2	2340	2342	2339
Sat Nov 14 13:49:16 2015	1447505356	2	2618	2620	2618
Sat Nov 14 13:49:15 2015	1447505355	2	2620	2622	2620
Sat Nov 14 13:49:08 2015	1447505348	1	2655	2656	2655
Sat Nov 14 13:48:46 2015	1447505326	2	2655	2656	2655
Sat Nov 14 13:49:16 2015	1447505356	2	2673	2676	2673
Sat Nov 14 13:48:51 2015	1447505331	1	2700	2701	2700
Sat Nov 14 13:48:36 2015	1447505316	2	2730	2732	2730
Sat Nov 14 13:48:43 2015	1447505323	2	2827	2829	2827
Sat Nov 14 13:49:12 2015	1447505352	1	2945	2946	2945
Sat Nov 14 13:48:51 2015	1447505331	3	3001	3004	3001
Sat Nov 14 13:49:15 2015	1447505355	2	3089	3091	3084
Sat Nov 14 13:49:00 2015	1447505340	8	3124	3132	3123
Sat Nov 14 13:49:13 2015	1447505353	2	3373	3375	3371
Sat Nov 14 13:49:13 2015	1447505353	2	3431	3433	3429
Sat Nov 14 13:48:33 2015	1447505313	3	3544	3546	3542
Sat Nov 14 13:49:00 2015	1447505340	2	3575	3577	3559
Sat Nov 14 13:48:50 2015	1447505330	1	3677	3678	3677
Sat Nov 14 13:49:07 2015	1447505347	5	3714	3719	3713
Sat Nov 14 13:48:41 2015	1447505321	4	3876	3880	3876
Sat Nov 14 13:48:43 2015	1447505323	2	3982	3984	3980
Sat Nov 14 13:48:42 2015	1447505322	3	4007	4010	4007
Sat Nov 14 13:48:47 2015	1447505327	3	4204	4207	4204
Sat Nov 14 13:48:42 2015	1447505322	2	4373	4376	4373
Sat Nov 14 13:48:47 2015	1447505327	1	4415	4416	4415
Sat Nov 14 13:48:42 2015	1447505322	2	4424	4426	4424
Sat Nov 14 13:48:48 2015	1447505328	1	4478	4479	4478
Sat Nov 14 13:48:48 2015	1447505328	1	4514	4515	4514
Sat Nov 14 13:48:42 2015	1447505322	3	4643	4646	4643
Sat Nov 14 13:48:31 2015	1447505311	1005	3905	4910	3905
Sat Nov 14 13:48:31 2015	1447505311	1005	3948	4953	3948
Sat Nov 14 13:48:38 2015	1447505318	2	4975	4977	4974
Sat Nov 14 13:48:38 2015	1447505318	2	5067	5068	5065
Sat Nov 14 13:49:17 2015	1447505357	3	5090	5092	5090
Sat Nov 14 13:48:38 2015	1447505318	3	5143	5146	5143
Sat Nov 14 13:48:38 2015	1447505318	2	5151	5153	5137
Sat Nov 14 13:48:37 2015	1447505317	3	5159	5162	5152
Sat Nov 14 13:48:45 2015	1447505325	2	5246	5248	5246
Sat Nov 14 13:48:36 2015	1447505316	3	5268	5271	5267
Sat Nov 14 13:49:04 2015	1447505344	2	5328	5330	5327
Sat Nov 14 13:48:36 2015	1447505316	2	5337	5339	5337
Sat Nov 14 13:48:31 2015	1447505311	1005	4386	5391	4386
Sat Nov 14 13:48:43 2015	1447505323	2	5458	5460	5458
Sat Nov 14 13:48:43 2015	1447505323	2	5487	5489	5486
Sat Nov 14 13:48:31 2015	1447505311	1005	4617	5622	4608
Sat Nov 14 13:49:03 2015	1447505343	2	5642	5644	5641
Sat Nov 14 13:48:31 2015	1447505311	1005	4673	5678	4673
Sat Nov 14 13:48:36 2015	1447505316	2	5680	5682	5680
Sat Nov 14 13:48:59 2015	1447505339	3	5712	5716	5711
Sat Nov 14 13:48:53 2015	1447505333	2	5723	5726	5723
Sat Nov 14 13:48:54 2015	1447505334	3	5749	5752	5749
Sat Nov 14 13:49:02 2015	1447505342	1	5758	5759	5758
Sat Nov 14 13:49:02 2015	1447505342	1	5779	5780	5779
Sat Nov 14 13:48:54 2015	1447505334	2	5809	5812	5809
Sat Nov 14 13:48:46 2015	1447505326	3	5841	5844	5841
Sat Nov 14 13:49:04 2015	1447505344	2	5857	5858	5857
Sat Nov 14 13:49:06 2015	1447505346	2	5871	5873	5871
Sat Nov 14 13:49:07 2015	1447505347	2	5920	5922	5920
Sat Nov 14 13:48:54 2015	1447505334	1	5924	5926	5924
Sat Nov 14 13:48:53 2015	1447505333	2	6388	6391	6388
Sat Nov 14 13:48:31 2015	1447505311	1005	5785	6789	5785
Sat Nov 14 13:49:08 2015	1447505348	2	6817	6820	6817
Sat Nov 14 13:48:56 2015	1447505336	2	6825	6827	6825
Sat Nov 14 13:49:08 2015	1447505348	1	6864	6865	6864
Sat Nov 14 13:48:31 2015	1447505311	1005	5865	6870	5865
Sat Nov 14 13:48:31 2015	1447505311	1005	5895	6900	5895
Sat Nov 14 13:48:31 2015	1447505311	1005	5929	6935	5929
Sat Nov 14 13:48:46 2015	1447505326	4	7289	7293	7289
Sat Nov 14 13:48:52 2015	1447505332	2	7329	7331	7329
Sat Nov 14 13:48:46 2015	1447505326	2	7341	7343	7331
Sat Nov 14 13:48:57 2015	1447505337	1	7440	7442	7440
Sat Nov 14 13:48:38 2015	1447505318	2	7588	7590	7588
Sat Nov 14 13:49:15 2015	1447505355	2	7674	7675	7668
Sat Nov 14 13:48:59 2015	1447505339	2	7894	7896	7894
Sat Nov 14 13:48:49 2015	1447505329	1	8070	8071	8070
Sat Nov 14 13:48:53 2015	1447505333	2	8227	8229	8227
Sat Nov 14 13:49:01 2015	1447505341	2	8335	8337	8334
Sat Nov 14 13:49:08 2015	1447505348	1	8689	8690	8689
Sat Nov 14 13:48:59 2015	1447505339	2	8834	8836	8834
Sat Nov 14 13:48:46 2015	1447505326	2	9138	9141	9138
Sat Nov 14 13:49:09 2015	1447505349	2	9364	9366	9364
Sat Nov 14 13:49:11 2015	1447505351	3	9649	9652	9649
Sat Nov 14 13:49:12 2015	1447505352	2	9854	9856	9854
Sat Nov 14 13:49:10 2015	1447505350	2	10446	10448	10446
